##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	ege_1765750669_SRR24940081.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2268524
Total Bases	539.3 Mbp
Sequences flagged as poor quality	0
Sequence length	35-251
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	33.514984633179985	34.0	34.0	34.0	34.0	34.0
2	33.440032373472796	34.0	34.0	34.0	34.0	34.0
3	33.49680849750763	34.0	34.0	34.0	34.0	34.0
4	33.504761245638136	34.0	34.0	34.0	34.0	34.0
5	33.51194300787649	34.0	34.0	34.0	34.0	34.0
6	37.13344491836983	38.0	38.0	38.0	36.0	38.0
7	37.029253823190764	38.0	38.0	38.0	36.0	38.0
8	36.97145809345636	38.0	38.0	38.0	36.0	38.0
9	36.94879137271636	38.0	38.0	38.0	36.0	38.0
10-14	36.96706704447474	38.0	38.0	38.0	36.0	38.0
15-19	36.98003926782348	38.0	38.0	38.0	36.0	38.0
20-24	36.96478891120394	38.0	38.0	38.0	35.8	38.0
25-29	36.82141039724508	38.0	38.0	38.0	35.0	38.0
30-34	36.870966848929086	38.0	38.0	38.0	35.6	38.0
35-39	36.91329455106538	38.0	38.0	38.0	36.0	38.0
40-44	36.86679513410751	38.0	38.0	38.0	35.2	38.0
45-49	36.81778508249632	38.0	38.0	38.0	35.0	38.0
50-54	36.86299246118487	38.0	38.0	38.0	35.2	38.0
55-59	36.79920546698011	38.0	38.0	38.0	35.0	38.0
60-64	36.74898444732635	38.0	38.0	38.0	35.0	38.0
65-69	36.71925206828899	38.0	38.0	38.0	34.6	38.0
70-74	36.69203582531681	38.0	38.0	38.0	34.4	38.0
75-79	36.59720419006858	38.0	37.6	38.0	34.0	38.0
80-84	36.55341302579724	38.0	37.4	38.0	34.0	38.0
85-89	36.62437461012844	38.0	38.0	38.0	34.0	38.0
90-94	36.59221244510768	38.0	38.0	38.0	34.0	38.0
95-99	36.56984115486462	38.0	37.8	38.0	34.0	38.0
100-104	36.37985901365648	38.0	37.0	38.0	34.0	38.0
105-109	36.43940390612299	38.0	37.0	38.0	34.0	38.0
110-114	36.49479947948634	38.0	37.0	38.0	34.0	38.0
115-119	36.453905530386805	38.0	37.4	38.0	34.0	38.0
120-124	36.339275972610835	38.0	37.0	38.0	34.0	38.0
125-129	36.33460096138334	38.0	37.0	38.0	34.0	38.0
130-134	36.260931513616114	38.0	37.0	38.0	33.8	38.0
135-139	36.28733242099211	38.0	37.0	38.0	34.0	38.0
140-144	36.227504505103084	38.0	37.0	38.0	34.0	38.0
145-149	36.166880710832864	38.0	37.0	38.0	33.4	38.0
150-154	36.15267528421978	38.0	37.0	38.0	33.2	38.0
155-159	36.08023140879693	38.0	37.0	38.0	33.0	38.0
160-164	36.09295886529546	38.0	37.0	38.0	33.0	38.0
165-169	35.839540564023096	38.0	37.0	38.0	31.4	38.0
170-174	35.80587598683614	38.0	37.0	38.0	31.0	38.0
175-179	35.77025254133007	38.0	37.0	38.0	31.0	38.0
180-184	35.61754335794169	38.0	36.4	38.0	29.6	38.0
185-189	35.51194210234658	38.0	36.0	38.0	29.0	38.0
190-194	35.39621200528755	38.0	36.0	38.0	28.0	38.0
195-199	35.25527387315697	38.0	36.0	38.0	27.2	38.0
200-204	35.06840800499575	38.0	35.8	38.0	26.0	38.0
205-209	34.77986207437976	38.0	35.0	38.0	25.0	38.0
210-214	34.60694638605541	37.8	35.0	38.0	24.6	38.0
215-219	34.190656686866895	37.0	34.4	38.0	23.4	38.0
220-224	33.70355421214216	37.0	33.8	38.0	22.0	38.0
225-229	33.170135392036435	37.0	31.8	38.0	21.0	38.0
230-234	32.57511771396618	37.0	29.8	37.8	19.8	38.0
235-239	32.01994913200273	37.0	29.2	37.2	19.0	38.0
240-244	31.276901356675786	36.4	27.6	37.0	18.0	37.6
245-249	30.55423400602958	35.0	26.0	37.0	17.0	37.0
250-251	25.47045976260563	26.5	18.0	33.0	12.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.0224168088377823
1101	2	0.05290490426462924
1101	3	0.059368746664894445
1101	4	0.09478944362567887
1101	5	0.13010341429117744
1101	6	0.24330119369940206
1101	7	0.3322304312874067
1101	8	0.3047372431221973
1101	9	0.33061579592875745
1101	10-14	0.24900541961029887
1101	15-19	0.21930377177680782
1101	20-24	0.23138665541922165
1101	25-29	0.21466684523343815
1101	30-34	0.1729140084097054
1101	35-39	0.16345746022587093
1101	40-44	0.14364278020595833
1101	45-49	0.1292847843017313
1101	50-54	-0.045718476355482096
1101	55-59	0.04330727418234659
1101	60-64	0.1593462931136287
1101	65-69	0.17369585577489488
1101	70-74	0.1454100381684924
1101	75-79	0.11159278561885344
1101	80-84	0.2770765804541995
1101	85-89	0.19390023350989338
1101	90-94	0.1712209816835255
1101	95-99	0.15999072306624385
1101	100-104	0.42980809952214116
1101	105-109	0.3162122210080369
1101	110-114	0.17127453656909353
1101	115-119	0.19468047295928415
1101	120-124	0.3136042043250171
1101	125-129	0.2994177161833491
1101	130-134	0.4152510303206327
1101	135-139	0.27193783644504776
1101	140-144	0.22406230557783857
1101	145-149	0.1434294014955242
1101	150-154	0.2835473182127686
1101	155-159	0.30007148119518945
1101	160-164	0.29797915209543646
1101	165-169	0.3359641603791488
1101	170-174	0.46421942679297956
1101	175-179	0.24054530553939202
1101	180-184	0.2593871869320594
1101	185-189	0.16694170120028673
1101	190-194	0.07323431280052262
1101	195-199	0.32863033559583954
1101	200-204	0.06445110080099425
1101	205-209	-0.22882328430561216
1101	210-214	-0.2439610747114429
1101	215-219	0.5340210052472543
1101	220-224	0.19241774099011977
1101	225-229	-0.29139469813301844
1101	230-234	-0.06091565855394876
1101	235-239	0.45278071955325316
1101	240-244	0.8577330525158118
1101	245-249	0.6009607045582506
1101	250-251	0.6206843017052499
1102	1	-0.025527004522437835
1102	2	0.0028186890475936366
1102	3	-0.030620391322855767
1102	4	-0.08216688828668595
1102	5	-0.023091530577517005
1102	6	-0.09068903975811082
1102	7	0.20758188930400934
1102	8	0.019890908779515826
1102	9	-0.18852580476716696
1102	10-14	-0.06408960151884457
1102	15-19	0.09246555132519063
1102	20-24	0.05539210353649082
1102	25-29	0.08120886641793135
1102	30-34	0.10213647976345186
1102	35-39	0.1848534104436439
1102	40-44	0.11439594349100446
1102	45-49	0.10621613199995039
1102	50-54	0.05270595812768164
1102	55-59	0.0019920689765271504
1102	60-64	0.035946768051140054
1102	65-69	0.07107329067027734
1102	70-74	-0.024565788107906883
1102	75-79	0.09318741315898649
1102	80-84	0.1632623904289261
1102	85-89	0.03304753720205866
1102	90-94	0.011347632555882115
1102	95-99	0.0627809048238035
1102	100-104	0.18069112923948438
1102	105-109	0.05974262065590352
1102	110-114	0.09236889845946195
1102	115-119	0.18352849076453026
1102	120-124	0.06571589460745741
1102	125-129	-0.05877689879088166
1102	130-134	0.16296833848176817
1102	135-139	0.010496599311210275
1102	140-144	0.035400793677780484
1102	145-149	0.004636524809278342
1102	150-154	0.1283707522701505
1102	155-159	0.05172404352579463
1102	160-164	0.01835796601930184
1102	165-169	0.2021134253486352
1102	170-174	0.31024937542773756
1102	175-179	0.16544087083814674
1102	180-184	9.012529507401723E-5
1102	185-189	0.07589265097760745
1102	190-194	0.07895705403031172
1102	195-199	0.1196015425175645
1102	200-204	0.16198335516329365
1102	205-209	0.08284082624930278
1102	210-214	0.0882704413922113
1102	215-219	-0.006761096895729679
1102	220-224	0.1874170190530613
1102	225-229	-0.05717374993485791
1102	230-234	-0.23842909101753662
1102	235-239	-0.28545420030251023
1102	240-244	-0.247986398802567
1102	245-249	-0.213351808523921
1102	250-251	0.21144237897732765
1103	1	0.06648875159903156
1103	2	0.014525634572372326
1103	3	-0.03021530815915696
1103	4	0.01411676343238355
1103	5	0.04940769194904959
1103	6	0.19332564055677182
1103	7	0.009917525582601172
1103	8	-0.22904205418030443
1103	9	-0.023949341033464577
1103	10-14	0.11569285072189928
1103	15-19	0.022504206389591275
1103	20-24	0.05476367600955001
1103	25-29	0.04385126921578575
1103	30-34	0.14854282383444684
1103	35-39	0.028408471812028324
